#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
100,-17889.8352428,24496.5903685,275.750771928,216.63184127,0.986572259208
200,-18350.7978887,25721.685352,289.541298785,216.63184127,0.986572259208
300,-18193.7316308,25885.4191732,291.384401311,216.46256215,0.98734378331
400,-17883.9718214,26257.7776546,295.575929076,214.465799382,0.996536350661
500,-17950.5850718,26836.9715091,302.095740613,212.586773663,1.00534460059
600,-18069.9427829,26400.5035272,297.182551425,213.064372025,1.0030910519
700,-18257.268168,26536.9819719,298.718848351,213.064372025,1.0030910519
800,-18151.267849,26491.9397857,298.211821968,212.563532278,1.00545452349
900,-18177.6439346,26724.4112961,300.828684048,212.906549322,1.00383462011
1000,-18391.0933012,26645.4932286,299.940327027,213.201283985,1.00244689461
1100,-18079.731421,26536.7402148,298.716126963,212.526239223,1.00563095569
1200,-18188.7036404,26761.4565824,301.245691728,212.526239223,1.00563095569
1300,-18308.3177541,26655.0020054,300.047364477,212.526239223,1.00563095569
1400,-18205.6147259,26714.6316469,300.71859747,211.48502754,1.01058201398
